parameter_name,parameter_value,problem_name,objective_value,total_profit,material_utilization,total_waste_volume,gap,runtime,total_patterns_generated
max_patterns_per_material,20,problem1,1950000,749000,0.9742574257425742,1950000,0,20.87669014930725,42
max_patterns_per_material,50,problem1,1800000,736200,0.9762376237623762,1800000,0,77.06071424484253,75
max_patterns_per_material,100,problem1,1950000,749000,0.9742574257425742,1950000,0,81.79004287719727,117
max_patterns_per_material,150,problem1,750000,733000,0.9900990099009901,750000,0,81.55947875976562,155
max_patterns_per_material,200,problem1,750000,733000,0.9900990099009901,750000,0,87.80199003219604,178
scoring_weights,default,problem1,750000,733000,0.9900990099009901,750000,0,88.8712387084961,0
scoring_weights,volume_only,problem1,750000,733000,0.9900990099009901,750000,0,44.267438888549805,0
scoring_weights,profit_only,problem1,750000,733000,0.9900990099009901,750000,0,36.25033736228943,0
scoring_weights,balanced,problem1,750000,733000,0.9900990099009901,750000,0,36.66598057746887,0
scoring_weights,contact_heavy,problem1,750000,733000,0.9900990099009901,750000,0,36.56701898574829,0
max_patterns_per_material,20,problem2,724060,724060,0.9459537953795379,4094000,0.15035130179684636,17.971461057662964,42
max_patterns_per_material,50,problem2,725220,725220,0.9453465346534653,4140000,0.14899009900990098,36.616859436035156,75
max_patterns_per_material,100,problem2,723540,723540,0.9506006600660066,3742000,0.15096149614961496,37.30203199386597,117
max_patterns_per_material,150,problem2,741800,741800,0.9587326732673267,3126000,0.12953428676200954,36.74960970878601,155
max_patterns_per_material,200,problem2,744260,744260,0.9558811881188118,3342000,0.12664759809314266,36.61115765571594,177
scoring_weights,config_0,problem2,743050,743050,0.9545874587458746,3440000,0.12806747341400807,37.021629095077515,0
scoring_weights,config_1,problem2,744490,744490,0.9625610561056106,2836000,0.12637770443711038,36.81735277175903,0
scoring_weights,config_2,problem2,741640,741640,0.9584158415841584,3150000,0.12972203887055372,36.92938160896301,0
scoring_weights,config_3,problem2,746440,746440,0.9588910891089109,3114000,0.12408947561422809,36.53318953514099,0
scoring_weights,config_4,problem2,745660,745660,0.9660726072607261,2570000,0.12500476714338102,38.34846210479736,0
